qname,A_pos,A_strand,B_pos,B_strand,A_AS,A_XS,A_score_gap,A_MAPQ,A_MAPQ_clean,A_NM,A_candidate_count,A_rank,expected_B_center,target_z,target_width,bowtie_fixed_width,TLEN_for_evaluation_only,primary
r1,18401,+,18430,-,-5,,,255,,3,1,1,18453.0,23.0,46.0,500,227,True
r2,8886,+,8973,-,-14,,,255,,8,1,1,8948.0,25.0,50.0,500,275,True
r3,11599,-,11596,+,-22,,,255,,8,1,1,11687.0,91.0,182.0,500,-341,True
r4,40075,+,40211,-,-1,,,255,,1,1,1,40277.0,66.0,132.0,500,184,True
r5,48010,+,48180,-,0,,,255,,0,1,1,48199.0,19.0,38.0,500,231,True
r6,41607,-,41525,+,-13,,,255,,4,1,1,41550.0,25.0,50.0,500,-275,True
r7,4692,-,4543,+,-6,,,255,,2,1,1,4585.0,42.0,84.0,500,-292,True
r8,46678,+,46916,-,-10,,,255,,5,1,1,46887.0,29.0,58.0,500,279,True
r9,46762,+,46829,-,-2,,,255,,2,1,1,46844.0,15.0,30.0,500,235,True
r10,3326,+,3529,-,-9,,,255,,2,1,1,3510.0,19.0,38.0,500,269,True
r12,42332,+,42332,-,-4,,,255,,2,1,1,42374.0,42.0,84.0,500,208,True
r13,39584,+,39761,-,-3,,,255,,2,1,1,39782.0,21.0,42.0,500,229,True
r14,15474,-,15330,+,-7,,,255,,5,1,1,15332.0,2.0,4.0,500,-252,True
r15,40884,+,41039,-,-4,,,255,,2,1,1,41058.0,19.0,38.0,500,231,True
r16,45335,+,45457,-,-2,,,255,,2,1,1,45493.0,36.0,72.0,500,214,True
r17,29683,+,29803,-,-12,,,255,,9,1,1,29821.0,18.0,36.0,500,232,True
r18,5567,-,5358,+,0,,,255,,0,1,1,5397.0,39.0,78.0,500,-289,True
r19,42447,+,42566,-,-2,,,255,,2,1,1,42507.0,59.0,118.0,500,309,True
r20,5207,+,5365,-,-2,,,255,,2,1,1,5404.0,39.0,78.0,500,211,True
r21,9339,-,9131,+,-4,,,255,,2,1,1,9166.0,35.0,70.0,500,-285,True
r22,29903,-,29617,+,0,,,255,,0,1,1,29694.0,77.0,154.0,500,-327,True
r23,25765,-,25622,+,-3,,,255,,1,1,1,25587.0,35.0,70.0,500,-215,True
r24,15162,+,15361,-,-15,,,255,,11,1,1,15310.0,51.0,102.0,500,301,True
r25,19617,+,19736,-,-1,,,255,,1,1,1,19676.0,60.0,120.0,500,310,True
r26,35637,-,35484,+,-9,,,255,,6,1,1,35429.0,55.0,110.0,500,-195,True
r27,23814,-,23697,+,-5,,,255,,3,1,1,23649.0,48.0,96.0,500,-202,True
r28,33494,-,33309,+,-2,,,255,,2,1,1,33307.0,2.0,4.0,500,-248,True
r29,42380,-,42264,+,-3,,,255,,1,1,1,42212.0,52.0,104.0,500,-198,True
r30,39964,+,40167,-,-3,,,255,,3,1,1,40170.0,3.0,6.0,500,247,True
r31,34320,+,34549,-,-5,,,255,,4,1,1,34494.0,55.0,110.0,500,305,True
r32,37299,+,37479,-,-1,,,255,,1,1,1,37471.0,8.0,16.0,500,258,True
r33,1304,+,1500,-,-5,,,255,,3,1,1,1504.0,4.0,8.0,500,246,True
r34,31207,-,31039,+,-4,,,255,,3,1,1,31062.0,23.0,46.0,500,-273,True
r35,14557,-,14321,+,-8,,,255,,4,1,1,14385.0,64.0,128.0,500,-314,True
r36,23670,+,23767,-,-1,,,255,,1,1,1,23829.0,62.0,124.0,500,188,True
r37,33242,+,33242,-,-5,,,255,,3,1,1,33331.0,89.0,178.0,500,161,True
r38,3891,+,4076,-,-5,,,255,,5,1,1,4089.0,13.0,26.0,500,237,True
r39,38131,-,37923,+,-2,,,255,,2,1,1,37991.0,68.0,136.0,500,-318,True
r41,8890,-,8674,+,0,,,255,,0,1,1,8702.0,28.0,56.0,500,-278,True
r43,13884,+,14094,-,-15,,,255,,4,1,1,14077.0,17.0,34.0,500,267,True
r44,25729,-,25562,+,-2,,,255,,1,1,1,25543.0,19.0,38.0,500,-231,True
r45,15724,+,15899,-,-2,,,255,,1,1,1,15910.0,11.0,22.0,500,239,True
r46,2103,-,2065,+,-2,,,255,,1,1,1,1993.0,72.0,144.0,500,-178,True
r47,38538,-,38237,+,0,,,255,,0,1,1,38344.0,107.0,214.0,500,-357,True
r48,31389,+,31574,-,-4,,,255,,4,1,1,31543.0,31.0,62.0,500,281,True
r49,5067,+,5200,-,-8,,,255,,7,1,1,5207.0,7.0,14.0,500,243,True
r50,14022,-,13878,+,0,,,255,,0,1,1,13879.0,1.0,2.0,500,-251,True
r51,5170,-,5013,+,0,,,255,,0,1,1,5016.0,3.0,6.0,500,-253,True
r52,6605,+,6693,-,0,,,255,,0,1,1,6713.0,20.0,40.0,500,230,True
r53,19588,-,19482,+,-14,,,255,,3,1,1,19473.0,9.0,18.0,500,-241,True
r54,5588,+,5705,-,0,,,255,,0,1,1,5771.0,66.0,132.0,500,184,True
r55,40916,-,40847,+,-5,,,255,,2,1,1,40794.0,53.0,106.0,500,-197,True
r56,30707,+,30895,-,0,,,255,,0,1,1,30872.0,23.0,46.0,500,273,True
r57,45392,-,45277,+,-12,,,255,,5,1,1,45311.0,34.0,68.0,500,-284,True
r58,11250,-,11046,+,-1,,,255,,1,1,1,11087.0,41.0,82.0,500,-291,True
r59,5078,+,5233,-,-1,,,255,,1,1,1,5204.0,29.0,58.0,500,279,True
r62,17137,+,17268,-,-7,,,255,,5,1,1,17258.0,10.0,20.0,500,260,True
r63,39477,+,39564,-,-5,,,255,,4,1,1,39505.0,59.0,118.0,500,309,True
r64,10334,+,10435,-,-1,,,255,,1,1,1,10393.0,42.0,84.0,500,292,True
r65,20112,-,19874,+,-1,,,255,,1,1,1,19902.0,28.0,56.0,500,-278,True
r66,16726,+,16926,-,-2,,,255,,2,1,1,16936.0,10.0,20.0,500,240,True
r67,8994,+,9156,-,-1,,,255,,1,1,1,9166.0,10.0,20.0,500,240,True
r68,47515,+,47644,-,-11,,,255,,4,1,1,47685.0,41.0,82.0,500,209,True
r69,18161,-,18017,+,-1,,,255,,1,1,1,18027.0,10.0,20.0,500,-260,True
r70,43524,-,43405,+,-22,,,255,,15,1,1,43434.0,29.0,58.0,500,-279,True
r71,43079,-,43079,+,0,,,255,,0,1,1,43241.0,162.0,324.0,500,-232,True
r72,3888,-,3737,+,-1,,,255,,1,1,1,3722.0,15.0,30.0,500,-235,True
r73,25604,+,25709,-,0,,,255,,0,1,1,25764.0,55.0,110.0,500,195,True
r74,40894,-,40760,+,-1,,,255,,1,1,1,40720.0,40.0,80.0,500,-210,True
r75,5095,+,5226,-,-11,,,255,,4,1,1,5235.0,9.0,18.0,500,241,True
r76,27569,-,27536,+,-12,,,255,,9,1,1,27461.0,75.0,150.0,500,-175,True
r77,15051,+,15051,-,-16,,,255,,5,1,1,15054.0,3.0,6.0,500,247,True
r78,7927,-,7864,+,-1,,,255,,1,1,1,7789.0,75.0,150.0,500,-175,True
r79,15846,+,16023,-,0,,,255,,0,1,1,15990.0,33.0,66.0,500,283,True
r80,8235,+,8378,-,-2,,,255,,2,1,1,8343.0,35.0,70.0,500,285,True
r81,34240,-,34123,+,0,,,255,,0,1,1,34032.0,91.0,182.0,500,-159,True
r82,32432,+,32672,-,-4,,,255,,1,1,1,32610.0,62.0,124.0,500,312,True
r83,34366,+,34579,-,0,,,255,,0,1,1,34504.0,75.0,150.0,500,325,True
r84,33639,-,33632,+,-5,,,255,,2,1,1,33677.0,45.0,90.0,500,-295,True
r85,36869,-,36732,+,0,,,255,,0,1,1,36709.0,23.0,46.0,500,-227,True
r86,34305,-,34232,+,-9,,,255,,2,1,1,34227.0,5.0,10.0,500,-245,True
r87,12350,-,12231,+,-17,,,255,,4,1,1,12253.0,22.0,44.0,500,-272,True
r88,33039,+,33039,-,-3,,,255,,3,1,1,33074.0,35.0,70.0,500,215,True
r89,17440,+,17651,-,-2,,,255,,2,1,1,17601.0,50.0,100.0,500,300,True
r90,26146,+,26235,-,-2,,,255,,2,1,1,26292.0,57.0,114.0,500,193,True
r91,46923,-,46695,+,0,,,255,,0,1,1,46713.0,18.0,36.0,500,-268,True
r92,29147,-,28987,+,-1,,,255,,1,1,1,28938.0,49.0,98.0,500,-201,True
r93,7260,+,7277,-,-68,,,255,,20,1,1,7178.0,99.0,198.0,500,349,True
r94,16433,-,16369,+,-10,,,255,,6,1,1,16237.0,132.0,264.0,500,-118,True
r95,40605,+,40767,-,-4,,,255,,1,1,1,40751.0,16.0,32.0,500,266,True
r96,1401,-,1223,+,0,,,255,,0,1,1,1325.0,102.0,204.0,500,-352,True
r97,29362,-,29362,+,-13,,,255,,8,1,1,29537.0,175.0,350.0,500,-309,True
r98,11048,-,10907,+,-2,,,255,,2,1,1,10918.0,11.0,22.0,500,-261,True
r99,2040,-,1884,+,-3,,,255,,2,1,1,1845.0,39.0,78.0,500,-211,True
r100,1226,+,1258,-,0,,,255,,0,1,1,1300.0,42.0,84.0,500,208,True
r101,26777,-,26611,+,-3,,,255,,3,1,1,26631.0,20.0,40.0,500,-270,True
r102,12314,-,12188,+,-19,,,255,,6,1,1,12249.0,61.0,122.0,500,-311,True
r103,38660,-,38576,+,-5,,,255,,3,1,1,38584.0,8.0,16.0,500,-258,True
r104,4972,-,4917,+,0,,,255,,0,1,1,4792.0,125.0,250.0,500,-125,True
r105,43683,+,43834,-,-3,,,255,,1,1,1,43889.0,55.0,110.0,500,195,True
r106,18964,+,19052,-,-11,,,255,,7,1,1,19096.0,44.0,88.0,500,206,True
r107,45087,-,44866,+,0,,,255,,0,1,1,44902.0,36.0,72.0,500,-286,True
r108,1152,+,1340,-,0,,,255,,0,1,1,1362.0,22.0,44.0,500,228,True
